,Run,DatasetSize,Distribution,Parameter,#threads,SearchAlgorithm,RecordSizeBytes,TimeNS
248,2,100000,uniform,42,1,sip,8,53.7
249,2,100000,uniform,42,1,sip,8,54.8
250,2,100000,uniform,42,1,sip,8,53.8
251,2,100000,uniform,42,1,sip,8,54.4
252,2,100000,uniform,42,1,sip,8,53.8
253,2,100000,uniform,42,1,sip,8,52.8
254,2,100000,uniform,42,1,sip,8,53.3
255,2,100000,uniform,42,1,sip,8,56.6
256,2,100000,uniform,42,1,sip,8,66.7
257,2,100000,uniform,42,1,sip,8,55.0
258,2,100000,uniform,42,1,sip,8,54.2
259,2,100000,uniform,42,1,sip,8,54.1
260,2,100000,uniform,42,1,sip,8,53.4
261,2,100000,uniform,42,1,sip,8,53.7
262,2,100000,uniform,42,1,sip,8,52.7
263,2,100000,uniform,42,1,sip,8,53.8
264,2,100000,uniform,42,1,sip,8,53.9
265,2,100000,uniform,42,1,sip,8,54.2
266,2,100000,uniform,42,1,sip,8,54.1
267,2,100000,uniform,42,1,sip,8,54.7
268,2,100000,uniform,42,1,sip,8,53.6
269,2,100000,uniform,42,1,sip,8,53.7
270,2,100000,uniform,42,1,sip,8,54.2
271,2,100000,uniform,42,1,sip,8,53.9
272,2,100000,uniform,42,1,sip,8,54.2
273,2,100000,uniform,42,1,sip,8,56.5
274,2,100000,uniform,42,1,sip,8,68.2
275,2,100000,uniform,42,1,sip,8,53.7
276,2,100000,uniform,42,1,sip,8,53.3
277,2,100000,uniform,42,1,sip,8,54.3
278,2,100000,uniform,42,1,sip,8,54.6
279,2,100000,uniform,42,1,sip,8,54.7
280,2,100000,uniform,42,1,sip,8,57.3
281,2,100000,uniform,42,1,sip,8,55.6
282,2,100000,uniform,42,1,sip,8,53.8
283,2,100000,uniform,42,1,sip,8,54.3
284,2,100000,uniform,42,1,sip,8,54.0
285,2,100000,uniform,42,1,sip,8,52.3
286,2,100000,uniform,42,1,sip,8,53.7
287,2,100000,uniform,42,1,sip,8,53.8
288,2,100000,uniform,42,1,sip,8,52.9
289,2,100000,uniform,42,1,sip,8,53.8
290,2,100000,uniform,42,1,sip,8,53.7
291,2,100000,uniform,42,1,sip,8,59.1
292,2,100000,uniform,42,1,sip,8,68.7
293,2,100000,uniform,42,1,sip,8,64.8
294,2,100000,uniform,42,1,sip,8,64.2
295,2,100000,uniform,42,1,sip,8,54.2
296,2,100000,uniform,42,1,sip,8,53.8
297,2,100000,uniform,42,1,sip,8,54.9
298,2,100000,uniform,42,1,sip,8,54.6
299,2,100000,uniform,42,1,sip,8,54.3
300,3,100000,uniform,42,1,bs,8,97.1
301,3,100000,uniform,42,1,bs,8,93.9
302,3,100000,uniform,42,1,bs,8,168.1
303,3,100000,uniform,42,1,bs,8,135.6
304,3,100000,uniform,42,1,bs,8,134.4
305,3,100000,uniform,42,1,bs,8,128.8
306,3,100000,uniform,42,1,bs,8,132.7
307,3,100000,uniform,42,1,bs,8,131.9
308,3,100000,uniform,42,1,bs,8,132.4
309,3,100000,uniform,42,1,bs,8,137.6
310,3,100000,uniform,42,1,bs,8,263.9
311,3,100000,uniform,42,1,bs,8,136.9
312,3,100000,uniform,42,1,bs,8,101.8
313,3,100000,uniform,42,1,bs,8,96.8
314,3,100000,uniform,42,1,bs,8,94.8
315,3,100000,uniform,42,1,bs,8,95.3
316,3,100000,uniform,42,1,bs,8,189.3
317,3,100000,uniform,42,1,bs,8,98.2
318,3,100000,uniform,42,1,bs,8,94.2
319,3,100000,uniform,42,1,bs,8,94.3
320,3,100000,uniform,42,1,bs,8,93.6
321,3,100000,uniform,42,1,bs,8,92.4
322,3,100000,uniform,42,1,bs,8,92.8
323,3,100000,uniform,42,1,bs,8,93.1
324,3,100000,uniform,42,1,bs,8,93.0
325,3,100000,uniform,42,1,bs,8,92.4
326,3,100000,uniform,42,1,bs,8,97.5
327,3,100000,uniform,42,1,bs,8,94.0
328,3,100000,uniform,42,1,bs,8,92.3
329,3,100000,uniform,42,1,bs,8,92.9
330,3,100000,uniform,42,1,bs,8,93.1
331,3,100000,uniform,42,1,bs,8,92.8
332,3,100000,uniform,42,1,bs,8,92.1
333,3,100000,uniform,42,1,bs,8,92.2
334,3,100000,uniform,42,1,bs,8,92.3
335,3,100000,uniform,42,1,bs,8,92.5
336,3,100000,uniform,42,1,bs,8,93.3
337,3,100000,uniform,42,1,bs,8,104.2
338,3,100000,uniform,42,1,bs,8,93.7
339,3,100000,uniform,42,1,bs,8,92.5
340,3,100000,uniform,42,1,bs,8,93.4
